record_date,unit_price_calculated,weight_grams,moving_average
2024-03-02,18.80952380952381,840.0,19.023809523809526
2024-03-02,18.80952380952381,840.0,19.0
2024-03-03,18.80952380952381,840.0,18.976190476190474
2024-03-03,18.80952380952381,840.0,18.952380952380953
2024-03-04,18.80952380952381,840.0,18.928571428571427
2024-03-04,18.80952380952381,840.0,18.904761904761905
2024-03-12,19.047619047619047,840.0,18.904761904761905
2024-03-12,19.047619047619047,840.0,18.904761904761905
2024-03-20,19.047619047619047,840.0,18.904761904761905
2024-03-20,19.047619047619047,840.0,18.904761904761905
2024-03-25,19.047619047619047,840.0,18.928571428571427
2024-03-25,19.047619047619047,840.0,18.952380952380953
2024-04-30,19.047619047619047,840.0,18.976190476190474
2024-04-30,19.047619047619047,840.0,19.0
2024-05-10,19.047619047619047,840.0,19.023809523809526
2024-05-10,19.047619047619047,840.0,19.047619047619047
2024-05-12,19.047619047619047,840.0,19.047619047619047
2024-05-12,19.047619047619047,840.0,19.047619047619047
2024-05-14,19.047619047619047,840.0,19.047619047619047
2024-05-14,19.047619047619047,840.0,19.047619047619047
2024-05-23,19.047619047619047,840.0,19.047619047619047
2024-05-23,19.047619047619047,840.0,19.047619047619047
2024-05-24,19.047619047619047,840.0,19.047619047619047
2024-05-24,19.047619047619047,840.0,19.047619047619047
2024-06-02,18.80952380952381,840.0,19.023809523809526
2024-06-02,18.80952380952381,840.0,19.0
2024-07-02,18.80952380952381,840.0,18.976190476190474
2024-07-02,18.80952380952381,840.0,18.952380952380953
2024-07-12,19.047619047619047,840.0,18.952380952380953
2024-07-12,19.047619047619047,840.0,18.952380952380953
2024-07-20,19.047619047619047,840.0,18.952380952380953
2024-07-20,19.047619047619047,840.0,18.952380952380953
2024-07-21,20.0,840.0,19.047619047619047
2024-07-21,20.0,840.0,19.142857142857146
2024-07-24,19.047619047619047,840.0,19.166666666666664
2024-07-24,19.047619047619047,840.0,19.19047619047619
2024-08-04,18.80952380952381,840.0,19.19047619047619
2024-08-04,18.80952380952381,840.0,19.19047619047619
2024-08-05,18.80952380952381,840.0,19.166666666666664
